respondent,years_coding,years_coding_prof
15732,3-5 years,3-5 years
15733,12-14 years,6-8 years
15735,9-11 years,3-5 years
15736,21-23 years,18-20 years
15738,6-8 years,3-5 years
15739,6-8 years,3-5 years
15740,3-5 years,NA
15741,18-20 years,9-11 years
15742,15-17 years,3-5 years
15743,6-8 years,3-5 years
15744,3-5 years,3-5 years
15747,6-8 years,3-5 years
15749,21-23 years,21-23 years
15750,12-14 years,9-11 years
15752,21-23 years,NA
15753,6-8 years,3-5 years
15754,18-20 years,15-17 years
15755,15-17 years,15-17 years
15757,6-8 years,6-8 years
15758,6-8 years,3-5 years
15759,12-14 years,9-11 years
15760,15-17 years,3-5 years
15761,6-8 years,6-8 years
15762,3-5 years,3-5 years
15763,15-17 years,12-14 years
15764,0-2 years,0-2 years
15766,12-14 years,6-8 years
15768,3-5 years,NA
15769,9-11 years,9-11 years
15770,24-26 years,18-20 years
15771,6-8 years,0-2 years
15772,3-5 years,0-2 years
15773,9-11 years,3-5 years
15776,12-14 years,9-11 years
15777,9-11 years,3-5 years
15778,0-2 years,0-2 years
15780,15-17 years,12-14 years
15781,6-8 years,3-5 years
15783,6-8 years,3-5 years
15784,15-17 years,12-14 years
15785,0-2 years,NA
15786,9-11 years,NA
15788,9-11 years,3-5 years
15789,3-5 years,0-2 years
15792,9-11 years,6-8 years
15796,9-11 years,3-5 years
15797,24-26 years,21-23 years
15798,12-14 years,6-8 years
15800,18-20 years,NA
15801,9-11 years,3-5 years
15804,3-5 years,0-2 years
15805,15-17 years,9-11 years
15806,3-5 years,NA
15807,24-26 years,NA
15811,0-2 years,0-2 years
15812,3-5 years,3-5 years
15813,3-5 years,0-2 years
15816,18-20 years,0-2 years
15817,15-17 years,12-14 years
15818,3-5 years,0-2 years
15819,6-8 years,3-5 years
15820,6-8 years,3-5 years
15821,9-11 years,6-8 years
15823,3-5 years,3-5 years
15824,0-2 years,NA
15825,6-8 years,3-5 years
15826,6-8 years,3-5 years
15827,24-26 years,18-20 years
15828,12-14 years,6-8 years
15829,3-5 years,NA
15830,12-14 years,3-5 years
15831,6-8 years,0-2 years
15832,6-8 years,3-5 years
15833,3-5 years,NA
15834,9-11 years,6-8 years
15835,15-17 years,15-17 years
15836,15-17 years,15-17 years
15837,27-29 years,18-20 years
15838,3-5 years,0-2 years
15839,9-11 years,9-11 years
15841,21-23 years,18-20 years
15842,9-11 years,6-8 years
15843,3-5 years,3-5 years
15844,0-2 years,NA
15845,15-17 years,NA
15846,15-17 years,6-8 years
15847,9-11 years,9-11 years
15848,3-5 years,3-5 years
15849,9-11 years,9-11 years
15851,6-8 years,0-2 years
15852,12-14 years,12-14 years
15853,6-8 years,NA
15854,12-14 years,NA
15856,9-11 years,6-8 years
15857,3-5 years,NA
15859,3-5 years,0-2 years
15860,6-8 years,6-8 years
15862,9-11 years,3-5 years
15863,12-14 years,6-8 years
15864,0-2 years,0-2 years
15865,6-8 years,3-5 years
15866,6-8 years,6-8 years
15867,9-11 years,9-11 years
15872,6-8 years,6-8 years
15874,12-14 years,NA
15875,3-5 years,3-5 years
15877,3-5 years,NA
15878,3-5 years,3-5 years
15881,9-11 years,3-5 years
15882,9-11 years,NA
15884,6-8 years,NA
15888,12-14 years,12-14 years
15889,6-8 years,0-2 years
15891,18-20 years,6-8 years
15892,0-2 years,0-2 years
15893,3-5 years,0-2 years
15894,3-5 years,NA
15895,9-11 years,12-14 years
15897,3-5 years,NA
15898,0-2 years,0-2 years
15899,6-8 years,0-2 years
15900,15-17 years,3-5 years
15901,3-5 years,3-5 years
15902,0-2 years,NA
15904,0-2 years,0-2 years
15905,24-26 years,6-8 years
15906,12-14 years,6-8 years
15907,9-11 years,0-2 years
15908,9-11 years,NA
15909,3-5 years,3-5 years
15910,9-11 years,9-11 years
15911,3-5 years,3-5 years
15912,24-26 years,15-17 years
15914,6-8 years,NA
15917,12-14 years,12-14 years
15918,3-5 years,0-2 years
15919,0-2 years,NA
15920,15-17 years,9-11 years
15921,3-5 years,0-2 years
15922,15-17 years,15-17 years
15923,21-23 years,21-23 years
15925,3-5 years,3-5 years
15926,6-8 years,6-8 years
15928,3-5 years,NA
15930,21-23 years,21-23 years
15931,3-5 years,NA
15932,15-17 years,12-14 years
15933,3-5 years,0-2 years
15934,18-20 years,12-14 years
15935,0-2 years,0-2 years
15937,18-20 years,12-14 years
15938,6-8 years,3-5 years
15939,3-5 years,3-5 years
15940,3-5 years,3-5 years
15941,6-8 years,3-5 years
15942,0-2 years,0-2 years
15945,3-5 years,0-2 years
15946,12-14 years,9-11 years
15947,6-8 years,NA
15948,9-11 years,NA
15949,6-8 years,NA
15950,9-11 years,6-8 years
15951,3-5 years,3-5 years
15953,30 or more years,30 or more years
15956,12-14 years,12-14 years
15957,9-11 years,3-5 years
15959,27-29 years,21-23 years
15961,9-11 years,3-5 years
15965,3-5 years,3-5 years
15966,0-2 years,0-2 years
15968,12-14 years,3-5 years
15970,6-8 years,6-8 years
15971,3-5 years,3-5 years
15972,15-17 years,12-14 years
15973,3-5 years,NA
15975,6-8 years,3-5 years
15976,12-14 years,9-11 years
15977,3-5 years,0-2 years
15978,6-8 years,0-2 years
15979,12-14 years,NA
15980,9-11 years,6-8 years
15981,0-2 years,0-2 years
15982,6-8 years,3-5 years
15983,30 or more years,9-11 years
15984,3-5 years,NA
15986,15-17 years,12-14 years
15989,15-17 years,12-14 years
15991,3-5 years,0-2 years
15992,6-8 years,3-5 years
15994,6-8 years,6-8 years
15996,3-5 years,0-2 years
15999,21-23 years,21-23 years
16000,15-17 years,9-11 years
16001,3-5 years,NA
16002,0-2 years,0-2 years
16004,9-11 years,3-5 years
16005,6-8 years,NA
16008,3-5 years,0-2 years
16009,6-8 years,6-8 years
16011,6-8 years,3-5 years
16012,6-8 years,3-5 years
16013,3-5 years,NA
16014,30 or more years,21-23 years
16015,6-8 years,6-8 years
16016,30 or more years,18-20 years
16017,3-5 years,NA
16019,3-5 years,3-5 years
16020,6-8 years,3-5 years
16021,3-5 years,NA
16022,0-2 years,0-2 years
16023,6-8 years,NA
16025,9-11 years,9-11 years
16026,3-5 years,3-5 years
16027,6-8 years,3-5 years
16028,15-17 years,9-11 years
16029,3-5 years,0-2 years
16030,0-2 years,0-2 years
16031,9-11 years,6-8 years
16032,3-5 years,6-8 years
16033,9-11 years,6-8 years
16034,0-2 years,0-2 years
16035,12-14 years,6-8 years
16036,9-11 years,3-5 years
16037,15-17 years,3-5 years
16038,15-17 years,NA
16041,6-8 years,3-5 years
16042,15-17 years,15-17 years
16043,6-8 years,0-2 years
16044,18-20 years,15-17 years
16045,6-8 years,3-5 years
16046,18-20 years,15-17 years
16047,24-26 years,15-17 years
16048,12-14 years,6-8 years
16049,6-8 years,3-5 years
16051,3-5 years,0-2 years
16052,27-29 years,18-20 years
16054,6-8 years,3-5 years
16055,3-5 years,3-5 years
16056,21-23 years,18-20 years
16060,3-5 years,NA
16061,6-8 years,0-2 years
16062,0-2 years,NA
16064,15-17 years,12-14 years
16065,12-14 years,NA
16066,15-17 years,6-8 years
16067,3-5 years,NA
16068,12-14 years,9-11 years
16069,0-2 years,0-2 years
16070,3-5 years,0-2 years
16074,6-8 years,6-8 years
16078,12-14 years,6-8 years
16079,9-11 years,NA
16080,3-5 years,NA
16082,21-23 years,12-14 years
16083,15-17 years,NA
16084,6-8 years,0-2 years
16085,6-8 years,3-5 years
16086,9-11 years,3-5 years
16090,0-2 years,0-2 years
16091,6-8 years,3-5 years
16092,3-5 years,0-2 years
16095,9-11 years,NA
16097,6-8 years,3-5 years
16098,30 or more years,30 or more years
16099,6-8 years,3-5 years
16100,9-11 years,3-5 years
16101,6-8 years,NA
16102,6-8 years,0-2 years
16103,15-17 years,9-11 years
16104,9-11 years,3-5 years
16106,24-26 years,12-14 years
16107,9-11 years,3-5 years
16111,24-26 years,18-20 years
16113,24-26 years,NA
16114,21-23 years,15-17 years
16115,6-8 years,3-5 years
16117,6-8 years,NA
16120,21-23 years,9-11 years
16124,6-8 years,3-5 years
16125,3-5 years,0-2 years
16127,3-5 years,0-2 years
16128,3-5 years,0-2 years
16129,12-14 years,0-2 years
16130,6-8 years,6-8 years
16131,30 or more years,30 or more years
16133,3-5 years,0-2 years
16134,15-17 years,12-14 years
16135,9-11 years,9-11 years
16138,9-11 years,3-5 years
16141,12-14 years,9-11 years
16142,24-26 years,24-26 years
16143,6-8 years,3-5 years
16144,12-14 years,12-14 years
16146,12-14 years,12-14 years
16147,6-8 years,3-5 years
16149,21-23 years,12-14 years
16150,6-8 years,6-8 years
16151,0-2 years,NA
16154,12-14 years,12-14 years
16155,6-8 years,0-2 years
16156,6-8 years,NA
16158,3-5 years,3-5 years
16160,6-8 years,3-5 years
16161,0-2 years,0-2 years
16162,3-5 years,3-5 years
16163,3-5 years,0-2 years
16166,12-14 years,12-14 years
16167,15-17 years,6-8 years
16168,3-5 years,3-5 years
16170,21-23 years,15-17 years
16172,6-8 years,0-2 years
16173,0-2 years,3-5 years
16174,3-5 years,0-2 years
16175,21-23 years,NA
16176,0-2 years,0-2 years
16177,27-29 years,27-29 years
16178,24-26 years,21-23 years
16180,21-23 years,15-17 years
16181,3-5 years,NA
16182,12-14 years,6-8 years
16183,3-5 years,3-5 years
16184,24-26 years,15-17 years
16185,3-5 years,0-2 years
16187,18-20 years,NA
16189,3-5 years,0-2 years
16191,6-8 years,6-8 years
16194,3-5 years,3-5 years
16196,9-11 years,6-8 years
16198,9-11 years,9-11 years
16199,3-5 years,0-2 years
16200,15-17 years,15-17 years
16201,9-11 years,0-2 years
16204,3-5 years,3-5 years
16206,6-8 years,0-2 years
16208,12-14 years,3-5 years
16210,3-5 years,3-5 years
16213,3-5 years,0-2 years
16214,24-26 years,9-11 years
16215,3-5 years,0-2 years
16216,18-20 years,NA
16217,12-14 years,9-11 years
16218,12-14 years,9-11 years
16219,3-5 years,0-2 years
16220,12-14 years,6-8 years
16221,15-17 years,15-17 years
16222,6-8 years,3-5 years
16223,9-11 years,3-5 years
16225,3-5 years,0-2 years
16226,0-2 years,NA
16227,3-5 years,0-2 years
16228,3-5 years,3-5 years
16229,6-8 years,3-5 years
16230,0-2 years,3-5 years
16231,3-5 years,0-2 years
16233,9-11 years,NA
16234,9-11 years,6-8 years
16236,6-8 years,3-5 years
16237,9-11 years,3-5 years
16239,9-11 years,3-5 years
16240,9-11 years,9-11 years
16242,3-5 years,3-5 years
16243,6-8 years,6-8 years
16244,30 or more years,24-26 years
16245,9-11 years,9-11 years
16246,15-17 years,6-8 years
16247,6-8 years,3-5 years
16249,9-11 years,9-11 years
16250,30 or more years,30 or more years
16251,9-11 years,6-8 years
16253,0-2 years,0-2 years
16255,27-29 years,15-17 years
16256,6-8 years,3-5 years
16258,3-5 years,3-5 years
16259,12-14 years,9-11 years
16261,18-20 years,18-20 years
16262,6-8 years,3-5 years
16264,18-20 years,18-20 years
16266,6-8 years,6-8 years
16267,27-29 years,NA
16269,0-2 years,0-2 years
16270,3-5 years,0-2 years
16271,15-17 years,15-17 years
16272,3-5 years,3-5 years
16273,30 or more years,21-23 years
16274,9-11 years,3-5 years
16275,15-17 years,12-14 years
16276,15-17 years,6-8 years
16278,0-2 years,NA
16279,18-20 years,9-11 years
16280,6-8 years,3-5 years
16281,0-2 years,NA
16282,3-5 years,3-5 years
16283,18-20 years,15-17 years
16284,6-8 years,6-8 years
16285,6-8 years,3-5 years
16286,6-8 years,3-5 years
16287,9-11 years,6-8 years
16288,21-23 years,12-14 years
16289,9-11 years,6-8 years
16290,15-17 years,15-17 years
16291,9-11 years,9-11 years
16292,3-5 years,3-5 years
16293,12-14 years,3-5 years
16294,12-14 years,12-14 years
16295,12-14 years,3-5 years
16296,12-14 years,12-14 years
16297,30 or more years,24-26 years
16298,6-8 years,6-8 years
16299,9-11 years,6-8 years
16301,12-14 years,6-8 years
16304,9-11 years,3-5 years
16305,6-8 years,6-8 years
16306,15-17 years,9-11 years
16307,3-5 years,0-2 years
16308,24-26 years,15-17 years
16309,6-8 years,NA
16310,3-5 years,0-2 years
16311,3-5 years,NA
16312,6-8 years,3-5 years
16313,18-20 years,15-17 years
16314,0-2 years,0-2 years
16315,18-20 years,15-17 years
16316,3-5 years,NA
16317,0-2 years,0-2 years
16318,24-26 years,24-26 years
16320,3-5 years,3-5 years
16321,18-20 years,12-14 years
16323,6-8 years,6-8 years
16324,9-11 years,6-8 years
16325,3-5 years,0-2 years
16326,3-5 years,3-5 years
16327,3-5 years,3-5 years
16328,6-8 years,3-5 years
16329,3-5 years,3-5 years
16330,30 or more years,12-14 years
16331,3-5 years,3-5 years
16332,18-20 years,18-20 years
16333,9-11 years,NA
16334,6-8 years,6-8 years
16336,12-14 years,3-5 years
16338,0-2 years,NA
16339,18-20 years,9-11 years
16342,18-20 years,15-17 years
16343,6-8 years,3-5 years
16344,9-11 years,3-5 years
16345,21-23 years,18-20 years
16346,3-5 years,3-5 years
16347,3-5 years,NA
16348,3-5 years,0-2 years
16350,3-5 years,0-2 years
16351,0-2 years,0-2 years
16353,0-2 years,0-2 years
16355,3-5 years,0-2 years
16356,9-11 years,3-5 years
16358,15-17 years,15-17 years
16359,9-11 years,6-8 years
16362,12-14 years,3-5 years
16363,3-5 years,3-5 years
16365,18-20 years,18-20 years
16367,9-11 years,9-11 years
16374,3-5 years,0-2 years
16375,6-8 years,NA
16376,18-20 years,6-8 years
16377,21-23 years,21-23 years
16378,6-8 years,3-5 years
16379,21-23 years,18-20 years
16380,6-8 years,3-5 years
16382,18-20 years,12-14 years
16384,6-8 years,3-5 years
16385,30 or more years,6-8 years
16387,18-20 years,18-20 years
16388,18-20 years,15-17 years
16389,12-14 years,6-8 years
16390,21-23 years,NA
16391,21-23 years,21-23 years
16397,6-8 years,NA
16398,6-8 years,3-5 years
16399,9-11 years,3-5 years
16402,3-5 years,3-5 years
16404,15-17 years,12-14 years
16405,6-8 years,3-5 years
16406,6-8 years,6-8 years
16407,12-14 years,9-11 years
16408,6-8 years,NA
16409,18-20 years,15-17 years
16411,18-20 years,12-14 years
16412,6-8 years,3-5 years
16413,18-20 years,3-5 years
16415,6-8 years,3-5 years
16418,6-8 years,0-2 years
16419,9-11 years,3-5 years
16420,9-11 years,3-5 years
16421,3-5 years,0-2 years
16423,12-14 years,6-8 years
16424,3-5 years,3-5 years
16425,6-8 years,6-8 years
16427,0-2 years,0-2 years
16428,3-5 years,3-5 years
16429,18-20 years,18-20 years
16430,3-5 years,0-2 years
16433,3-5 years,3-5 years
16434,12-14 years,12-14 years
16436,12-14 years,3-5 years
16437,6-8 years,0-2 years
16440,6-8 years,3-5 years
16441,18-20 years,9-11 years
16443,3-5 years,0-2 years
16445,12-14 years,9-11 years
16446,3-5 years,NA
16447,3-5 years,3-5 years
16449,3-5 years,0-2 years
16450,3-5 years,0-2 years
16452,18-20 years,18-20 years
16456,6-8 years,0-2 years
16458,3-5 years,0-2 years
16459,6-8 years,3-5 years
16460,6-8 years,6-8 years
16461,0-2 years,0-2 years
16462,6-8 years,3-5 years
16464,3-5 years,3-5 years
16465,9-11 years,NA
16467,3-5 years,NA
16468,3-5 years,3-5 years
16469,3-5 years,NA
16471,21-23 years,21-23 years
16472,0-2 years,3-5 years
16473,12-14 years,NA
16474,9-11 years,9-11 years
16475,18-20 years,12-14 years
16478,9-11 years,NA
16480,3-5 years,NA
16481,3-5 years,NA
16482,12-14 years,12-14 years
16483,9-11 years,0-2 years
16486,18-20 years,9-11 years
16487,21-23 years,6-8 years
16488,15-17 years,12-14 years
16490,6-8 years,6-8 years
16491,3-5 years,0-2 years
16492,9-11 years,3-5 years
16494,6-8 years,3-5 years
16495,3-5 years,NA
16496,30 or more years,27-29 years
16497,27-29 years,15-17 years
16498,21-23 years,15-17 years
16499,15-17 years,3-5 years
16501,0-2 years,0-2 years
16502,3-5 years,0-2 years
16503,3-5 years,3-5 years
16504,3-5 years,NA
16506,0-2 years,NA
16509,6-8 years,0-2 years
16512,6-8 years,3-5 years
16513,3-5 years,NA
16518,9-11 years,3-5 years
16519,9-11 years,NA
16521,3-5 years,0-2 years
16522,3-5 years,0-2 years
16523,21-23 years,18-20 years
16524,6-8 years,6-8 years
16525,12-14 years,9-11 years
16527,6-8 years,3-5 years
16528,12-14 years,6-8 years
16532,3-5 years,NA
16533,18-20 years,6-8 years
16534,0-2 years,NA
16535,18-20 years,9-11 years
16536,15-17 years,3-5 years
16537,0-2 years,0-2 years
16538,9-11 years,3-5 years
16540,9-11 years,9-11 years
16542,3-5 years,0-2 years
16543,9-11 years,3-5 years
16544,0-2 years,0-2 years
16545,9-11 years,3-5 years
16546,3-5 years,0-2 years
16547,9-11 years,6-8 years
16548,6-8 years,6-8 years
16549,0-2 years,0-2 years
16550,3-5 years,NA
16551,3-5 years,3-5 years
16552,12-14 years,6-8 years
16553,0-2 years,NA
16554,6-8 years,0-2 years
16557,9-11 years,0-2 years
16561,9-11 years,NA
16562,3-5 years,3-5 years
16564,6-8 years,6-8 years
16565,18-20 years,9-11 years
16568,3-5 years,0-2 years
16569,12-14 years,3-5 years
16571,9-11 years,3-5 years
16572,12-14 years,3-5 years
16574,6-8 years,0-2 years
16576,6-8 years,6-8 years
16578,6-8 years,NA
16580,18-20 years,18-20 years
16581,3-5 years,0-2 years
16582,9-11 years,3-5 years
16583,3-5 years,3-5 years
16584,6-8 years,0-2 years
16585,3-5 years,NA
16586,15-17 years,12-14 years
16587,6-8 years,6-8 years
16588,6-8 years,6-8 years
16589,3-5 years,NA
16590,6-8 years,0-2 years
16592,18-20 years,12-14 years
16593,6-8 years,3-5 years
16596,6-8 years,3-5 years
16598,30 or more years,NA
16600,3-5 years,0-2 years
16601,3-5 years,0-2 years
16602,6-8 years,3-5 years
16604,21-23 years,9-11 years
16605,9-11 years,NA
16607,30 or more years,30 or more years
16608,0-2 years,0-2 years
16610,3-5 years,3-5 years
16614,6-8 years,6-8 years
16615,6-8 years,0-2 years
16616,12-14 years,NA
16618,12-14 years,3-5 years
16619,24-26 years,30 or more years
16620,15-17 years,12-14 years
16621,3-5 years,3-5 years
16622,9-11 years,0-2 years
16623,12-14 years,12-14 years
16624,9-11 years,9-11 years
16625,3-5 years,3-5 years
16626,6-8 years,3-5 years
16628,3-5 years,0-2 years
16629,30 or more years,24-26 years
16631,3-5 years,3-5 years
16633,18-20 years,12-14 years
16635,6-8 years,3-5 years
16636,0-2 years,0-2 years
16637,6-8 years,3-5 years
16638,6-8 years,NA
16640,0-2 years,0-2 years
16641,12-14 years,9-11 years
16642,3-5 years,NA
16643,0-2 years,NA
16645,6-8 years,6-8 years
16646,15-17 years,9-11 years
16648,9-11 years,6-8 years
16649,15-17 years,0-2 years
16650,6-8 years,3-5 years
16651,3-5 years,NA
16653,30 or more years,21-23 years
16654,9-11 years,0-2 years
16655,6-8 years,3-5 years
16656,6-8 years,0-2 years
16657,15-17 years,6-8 years
16659,9-11 years,NA
16661,0-2 years,0-2 years
16662,6-8 years,6-8 years
16666,3-5 years,3-5 years
16668,3-5 years,3-5 years
16669,9-11 years,9-11 years
16670,3-5 years,0-2 years
16671,6-8 years,3-5 years
16672,6-8 years,0-2 years
16673,6-8 years,3-5 years
16674,3-5 years,NA
16675,3-5 years,NA
16677,15-17 years,15-17 years
16678,3-5 years,0-2 years
16679,18-20 years,15-17 years
16680,6-8 years,3-5 years
16681,3-5 years,0-2 years
16682,30 or more years,18-20 years
16685,18-20 years,9-11 years
16686,30 or more years,27-29 years
16687,6-8 years,3-5 years
16689,9-11 years,6-8 years
16692,18-20 years,NA
16693,30 or more years,18-20 years
16694,15-17 years,3-5 years
16695,6-8 years,NA
16696,6-8 years,6-8 years
16697,3-5 years,3-5 years
16699,12-14 years,0-2 years
16700,15-17 years,15-17 years
16701,3-5 years,NA
16702,9-11 years,3-5 years
16705,12-14 years,9-11 years
16706,3-5 years,3-5 years
16707,3-5 years,0-2 years
16708,3-5 years,3-5 years
16709,18-20 years,NA
16710,0-2 years,0-2 years
16711,15-17 years,6-8 years
16713,3-5 years,NA
16714,6-8 years,6-8 years
16715,9-11 years,3-5 years
16716,12-14 years,6-8 years
16718,15-17 years,12-14 years
16719,3-5 years,NA
16721,3-5 years,0-2 years
16722,15-17 years,12-14 years
16723,6-8 years,3-5 years
16724,9-11 years,3-5 years
16725,6-8 years,6-8 years
16729,6-8 years,3-5 years
16730,3-5 years,0-2 years
16731,6-8 years,0-2 years
16732,9-11 years,0-2 years
16734,12-14 years,9-11 years
16735,24-26 years,21-23 years
16736,27-29 years,27-29 years
16737,0-2 years,0-2 years
16738,6-8 years,0-2 years
16739,6-8 years,3-5 years
16740,9-11 years,9-11 years
16741,12-14 years,6-8 years
16742,3-5 years,NA
16743,9-11 years,9-11 years
16744,0-2 years,0-2 years
16745,6-8 years,6-8 years
16747,9-11 years,NA
16748,0-2 years,0-2 years
16749,15-17 years,9-11 years
16750,9-11 years,3-5 years
16751,9-11 years,9-11 years
16752,3-5 years,0-2 years
16755,3-5 years,NA
16757,12-14 years,12-14 years
16760,15-17 years,9-11 years
16761,3-5 years,0-2 years
16762,15-17 years,6-8 years
16763,18-20 years,12-14 years
16764,3-5 years,0-2 years
16765,3-5 years,3-5 years
16766,3-5 years,3-5 years
16767,21-23 years,18-20 years
16769,12-14 years,9-11 years
16770,6-8 years,3-5 years
16771,6-8 years,3-5 years
16773,6-8 years,3-5 years
16775,12-14 years,9-11 years
